error_id,user_id,error_date,error_time,asin,old_container,new_container,process,job_action,violation,feedback_status,feedback_motive,quantity,created_at
3e149406-eb33-4bae-a870-b9bf6bad2b2f,minaiard,2025-09-21,07:19:25,B08HR9N7KX,tspt0000572,P-3-C176B400,Stow,EachStowed,Peso > 5 ubicado Library B (Vertical),pending,,1,2025-09-28 21:45:38
1b71b0d3-49bd-408d-b536-aef4dae66638,minaiard,2025-09-21,07:28:14,B08X6VPW4R,tsJCART00195,P-3-B205C370,Stow,EachStowed,Peso < 5 ubicado en Shelf C o B,pending,,1,2025-09-28 21:45:38
e741220b-e972-4473-ac89-7a54b82a04d8,oivanovf,2025-09-21,07:28:51,B0D3HMH7ZN,tspt0000098,P-2-B218A361,Stow,EachStowed,Menú incorrecto 36.2 ubicando peso estándar,pending,,1,2025-09-28 21:45:38
cb521ddc-2099-47b0-906c-c613ae0b14de,oivanovf,2025-09-21,07:32:11,B0D3HMH7ZN,tspt0000098,P-2-B264C332,Stow,EachStowed,Menú incorrecto 36.2 ubicando peso estándar,pending,,2,2025-09-28 21:45:38
8e6efb89-2eb1-46f9-8eb7-658c14b89d93,moufidmo,2025-09-21,07:32:23,B0DR2XNV3T,tsJCART00128,P-3-B210A201,Stow,EachStowed,Stow - Arena de Gatos en PT,pending,,2,2025-09-28 21:45:38
1c6b3c0d-079c-4a28-9d77-ba49f6420448,oivanovf,2025-09-21,07:32:51,B0D3HMH7ZN,tspt0000098,P-2-B264C331,Stow,EachStowed,Menú incorrecto 36.2 ubicando peso estándar,pending,,2,2025-09-28 21:45:38
9b9d5a9e-9f64-4d2a-901b-094b1b392808,oivanovf,2025-09-21,07:33:00,B0D3HMH7ZN,tspt0000098,P-2-B264C330,Stow,EachStowed,Menú incorrecto 36.2 ubicando peso estándar,pending,,1,2025-09-28 21:45:38
20a83ed6-77c0-4560-8a2b-d89b76bd07c7,oivanovf,2025-09-21,07:33:20,B0D3HN2QFQ,tspt0000098,P-2-B263B331,Stow,EachStowed,Menú incorrecto 36.2 ubicando peso estándar,pending,,1,2025-09-28 21:45:38
f390cf48-dcc0-4e48-8784-eb1551660541,oivanovf,2025-09-21,07:34:01,B0D3HMH7ZN,tspt0000098,P-2-B264C312,Stow,EachStowed,Menú incorrecto 36.2 ubicando peso estándar,pending,,1,2025-09-28 21:45:38
8af289ce-91fb-4668-a4a1-43c0740f6ed6,oivanovf,2025-09-21,07:34:55,B0D3KTV66M,tspt0000378,P-2-B263C332,Stow,EachStowed,Menú incorrecto 36.2 ubicando peso estándar,pending,,2,2025-09-28 21:45:38
d221b7b9-2954-4a8d-8803-4960eb7e5183,oivanovf,2025-09-21,07:35:17,B0D3KTV66M,tspt0000378,P-2-B263C331,Stow,EachStowed,Menú incorrecto 36.2 ubicando peso estándar,pending,,2,2025-09-28 21:45:38
