Scan,Departamento,Puesto,Departamento_Dashboard,Process_dashboard,Task_dashboard
OCEAN,IB - Dock,Ocean,IB,Dock,Ocean
DOCK CLERK,IB - Dock,Clerk,IB,Dock,Clerk
DOCK UNLOADERS,IB - Dock,Unloader,IB,Dock,Unloader
PALLET REPALLETIZE,IB - Dock,Repalletize,IB,Dock,Repalletize
ISS FUD/AGING,IB - PS,FUD Hunter,IB,Stow,FUDHunter
IB FUD Hunter,IB - PS,FUD Hunter,IB,Stow,FUDHunter
JACKPOT - RCV,IB - Rcv,Jackpot Rcv,IB,Receive,NonCon
RCV L2 -01,IB - Rcv,Receive L2-01,IB,Receive,NonCon
RCV L2 -02,IB - Rcv,Receive L2-02,IB,Receive,NonCon
RCV L2 -03,IB - Rcv,Receive L2-03,IB,Receive,NonCon
RCV L2 -04,IB - Rcv,Receive L2-04,IB,Receive,NonCon
RCV L2 -05,IB - Rcv,Receive L2-05,IB,Receive,NonCon
RCV L2 -06,IB - Rcv,Receive L2-06,IB,Receive,NonCon
RCV L2 -07,IB - Rcv,Receive L2-07,IB,Receive,NonCon
RCV L2 -08,IB - Rcv,Receive L2-08,IB,Receive,NonCon
RCV L2 -09,IB - Rcv,Receive L2-09,IB,Receive,NonCon
RCV L2 -10,IB - Rcv,Receive L2-10,IB,Receive,NonCon
RCV L3 -01,IB - Rcv,Receive L3-01,IB,Receive,NonCon
RCV L3 -03,IB - Rcv,Receive L3-03,IB,Receive,NonCon
RCV L3 -05,IB - Rcv,Receive L3-05,IB,Receive,NonCon
RCV L3 -07,IB - Rcv,Receive L3-07,IB,Receive,NonCon
RCV L3 -09,IB - Rcv,Receive L3-09,IB,Receive,NonCon
CORRAL,IB - Rcv,Corral,IB,Dock,Corral
PALLET RECEIVE,IB - Rcv,Pallet Receive,IB,Receive,PalletReceive
PREP  L1 - 07,IB - Rcv,Prep,IB,Receive,Prep
PREP L1-08,IB - Rcv,Prep,IB,Receive,Prep
PREP L1-09,IB - Rcv,Prep,IB,Receive,Prep
PREP L1-10,IB - Rcv,Prep,IB,Receive,Prep
RCV L1-01,IB - Rcv,Prep,IB,Receive,Prep
RCV L1-02,IB - Rcv,Prep,IB,Receive,Prep
RCV L1-03,IB - Rcv,Prep,IB,Receive,Prep
RCV L1-04,IB - Rcv,Prep,IB,Receive,Prep
RCV L1-05,IB - Rcv,Prep,IB,Receive,Prep
RCV L1-06,IB - Rcv,Prep,IB,Receive,Prep
RCV NON-CON,IB - Rcv,Receive NON-CON,IB,Receive,NonCon
RECEIVE TEAM LIFT #1,IB - Rcv,RECEIVE TEAM LIFT #1,IB,Receive,TeamLift
RECEIVE TEAM LIFT #2,IB - Rcv,RECEIVE TEAM LIFT #2,IB,Receive,TeamLift
RECEIVE TEAM LIFT #3,IB - Rcv,RECEIVE TEAM LIFT #3,IB,Receive,TeamLift
TSI DECANT 1,IB - Rcv,TSI Decant,IB,Receive,DecantTSI
TSI DECANT 2,IB - Rcv,TSI Decant,IB,Receive,DecantTSI
TSI DECANT 3,IB - Rcv,TSI Decant,IB,Receive,DecantTSI
TSI DECANT 4,IB - Rcv,TSI Decant,IB,Receive,DecantTSI
TSI DECANT 5,IB - Rcv,TSI Decant,IB,Receive,DecantTSI
RECEIVE TEAM LIFT ASSISTANT #1,IB - Rcv,RECEIVE TEAM LIFT ASSISTANT #1,IB,Receive,TLAssistant
RECEIVE TEAM LIFT ASSISTANT #2,IB - Rcv,RECEIVE TEAM LIFT ASSISTANT #2,IB,Receive,TLAssistant
RECEIVE TEAM LIFT ASSISTANT #3,IB - Rcv,RECEIVE TEAM LIFT ASSISTANT #3,IB,Receive,TLAssistant
