login,activo_roster_A,target_formacion,target_puesto_id,requisito_grupo,certificacion_faltante,grupo_completo,target_completo
aarminga,1,Corral,dock-corral,1,EUCF_ILT_ALL_Corral,0,0
aarminga,1,Corral,dock-corral,1,EUCF_NTU_IST_ Corral,0,0
aarminga,1,Dock Repaletizado,dock-wrapping,1,EUCF_ILT_ALL_Wrapping Unwrapping Pallets,0,0
aarminga,1,Ergopack,dock-ergopack,1,EUCF_ILT_ALL_Ergo_Pack,0,0
aarminga,1,Fluid,dock-fluid,1,EUCF_ ILT/SDLP_ALL_Dock Safety Training,0,0
aarminga,1,Fluid,dock-fluid,2,EUTOM_SLOT Training,0,0
aarminga,1,Ocean,dock-ocean,1,EUCF_ ILT/SDLP_ALL_Dock Safety Training,0,0
aarminga,1,Ocean,dock-ocean,2,EUTOM_SLOT Training,0,0
aarminga,1,Ocean CartonMover,dock-ocean-cm,1,EUCF_ ILT/SDLP_ALL_Dock Safety Training,0,0
aarminga,1,Ocean CartonMover,dock-ocean-cm,2,EUCF_ ILT_ALL_PIT Safety_High,0,0
aarminga,1,Ocean CartonMover,dock-ocean-cm,3,EUTOM_SLOT Training,0,0
aarminga,1,Stow Cart Runner,stow-cart,1,EUCF_ILT_ALL_Cart Handler Stow,0,0
aarminga,1,Stow Cart Runner,stow-cart,2,EUCF_NTU_ALL_PIT_TUGW,0,0
aaromara,1,Corral,dock-corral,1,EUCF_ILT_ALL_Corral,0,0
aaromara,1,Corral,dock-corral,1,EUCF_NTU_IST_ Corral,0,0
aaromara,1,Dock Repaletizado,dock-wrapping,1,EUCF_ILT_ALL_Wrapping Unwrapping Pallets,0,0
aaromara,1,Ergopack,dock-ergopack,1,EUCF_ILT_ALL_Ergo_Pack,0,0
aaromara,1,Fluid,dock-fluid,1,EUCF_ ILT/SDLP_ALL_Dock Safety Training,0,0
aaromara,1,Fluid,dock-fluid,2,EUTOM_SLOT Training,0,0
aaromara,1,Ocean,dock-ocean,1,EUCF_ ILT/SDLP_ALL_Dock Safety Training,0,0
aaromara,1,Ocean,dock-ocean,2,EUTOM_SLOT Training,0,0
aaromara,1,Ocean CartonMover,dock-ocean-cm,1,EUCF_ ILT/SDLP_ALL_Dock Safety Training,0,0
aaromara,1,Ocean CartonMover,dock-ocean-cm,2,EUCF_ ILT_ALL_PIT Safety_High,0,0
aaromara,1,Ocean CartonMover,dock-ocean-cm,3,EUTOM_SLOT Training,0,0
aaromara,1,Stow Cart Runner,stow-cart,1,EUCF_ILT_ALL_Cart Handler Stow,0,0
aaromara,1,Stow Cart Runner,stow-cart,2,EUCF_NTU_ALL_PIT_TUGW,0,0
abcatali,1,Corral,dock-corral,1,EUCF_ILT_ALL_Corral,0,0
abcatali,1,Corral,dock-corral,1,EUCF_NTU_IST_ Corral,0,0
abcatali,1,Dock Repaletizado,dock-wrapping,1,EUCF_ILT_ALL_Wrapping Unwrapping Pallets,0,0
abcatali,1,Ergopack,dock-ergopack,1,EUCF_ILT_ALL_Ergo_Pack,0,0
abcatali,1,Fluid,dock-fluid,1,EUCF_ ILT/SDLP_ALL_Dock Safety Training,0,0
abcatali,1,Fluid,dock-fluid,2,EUTOM_SLOT Training,0,0
