login,activo_roster_A,ib_any_by_process,ib_processes_verified_count,certificados_earned_count,puede_hacer,le_falta_para_completar,cumple_todos_objetivo
aarminga,SI,SI,4,84,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
abelzamb,SI,SI,4,67,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
abragut,SI,SI,10,88,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
achrraf,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
adespe,SI,SI,9,45,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
agrjorge,SI,SI,7,64,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ahumadmj,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
aitgar,SI,SI,3,5,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
alarluis,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
alasalob,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
alberedo,SI,SI,4,24,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
albouzia,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
aleiva,SI,SI,3,12,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
alejacoe,SI,SI,8,56,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
alejjsa,SI,SI,10,129,Corral | Dock Repaletizado,Ocean | Ocean CartonMover | Ergopack | Fluid | Stow Cart Runner,NO
aletolea,SI,SI,8,75,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
algagote,SI,SI,9,70,Corral,Ocean | Ocean CartonMover | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
alinaoat,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
alvveros,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
amillped,SI,SI,6,84,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
anavivej,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
anbaronj,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
andrrrub,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
anorodye,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
anstagno,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
antongaq,SI,SI,3,60,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
antoshke,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
arayvane,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
arevaraf,SI,SI,8,39,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
arnelsm,SI,SI,8,93,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
asorinbe,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
balfeste,SI,SI,1,3,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
barbozne,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
barcenil,SI,SI,5,37,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
barenalq,SI,SI,5,83,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
barfreva,SI,SI,2,7,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
baulenas,SI,SI,3,6,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
bejjarab,SI,SI,7,109,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
beldjorg,SI,SI,1,41,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
belensal,SI,SI,5,89,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
bellmcar,SI,SI,8,84,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
belteoba,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
benkasem,SI,SI,4,69,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
berperis,SI,SI,3,14,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
bmarioal,SI,SI,14,110,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
bmatag,SI,SI,1,25,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
bmorwalt,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
borjmorc,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
bricenbg,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
cabaldpa,SI,SI,11,113,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
cabranai,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
calderrs,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
camaantn,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
candresg,SI,SI,10,119,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
cargagog,SI,SI,8,37,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
carginic,SI,SI,8,126,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
casgab,SI,SI,3,18,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ccjohann,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
cealbvaz,SI,SI,10,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
