Bin Id,Bin Usage,Bin Type
P-1-A207F280,PRIME,PALLET-SINGLE
P-1-A234G442,PRIME,PALLET-SINGLE
P-1-A240D263,PRIME,PALLET-SINGLE
P-1-A247C312,PRIME,PALLET-SINGLE
P-1-A224C500,PRIME,PALLET-SINGLE
P-1-A245D502,PRIME,PALLET-SINGLE
P-1-A207F301,PRIME,PALLET-SINGLE
P-1-A240G261,PRIME,PALLET-SINGLE
P-1-A246G200,PRIME,PALLET-SINGLE
P-1-A226C451,PRIME,PALLET-SINGLE
P-1-A247E301,PRIME,PALLET-SINGLE
P-1-A241F210,PRIME,PALLET-SINGLE
P-1-A234A431,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A222C270,PRIME,PALLET-SINGLE
P-1-A222C293,PRIME,PALLET-SINGLE
P-1-A246D491,PRIME,PALLET-SINGLE
P-1-A210G282,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A247D312,PRIME,PALLET-SINGLE
P-1-A210F281,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A207G202,PRIME,PALLET-SINGLE
P-1-A207F283,PRIME,PALLET-SINGLE
P-1-A222F273,PRIME,PALLET-SINGLE
P-1-A234D451,PRIME,PALLET-SINGLE
P-1-A246C201,PRIME,PALLET-SINGLE
P-1-A234F442,PRIME,PALLET-SINGLE
P-1-A205G281,PRIME,PALLET-SINGLE
P-1-A246F212,PRIME,PALLET-SINGLE
P-1-A243E451,PRIME,PALLET-SINGLE
P-1-A223G500,PRIME,PALLET-SINGLE
P-1-A222C283,PRIME,PALLET-SINGLE
P-1-A222G273,PRIME,PALLET-SINGLE
P-1-A222E273,PRIME,PALLET-SINGLE
P-1-A214F293,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A205G240,PRIME,PALLET-SINGLE
P-1-A223E491,PRIME,PALLET-SINGLE
P-1-A208D290,PRIME,PALLET-SINGLE
P-1-A206C252,PRIME,PALLET-SINGLE
P-1-A206C242,PRIME,PALLET-SINGLE
P-1-A208G301,PRIME,PALLET-SINGLE
P-1-A222A293,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A223G223,PRIME,PALLET-SINGLE
P-1-A240C250,PRIME,PALLET-SINGLE
P-1-A240D261,PRIME,PALLET-SINGLE
P-1-A223G220,PRIME,PALLET-SINGLE
P-1-A205B213,PRIME,PALLET-SINGLE
P-1-A207C281,PRIME,PALLET-SINGLE
P-1-A240F213,PRIME,PALLET-SINGLE
P-1-A250E293,PRIME,PALLET-SINGLE
P-1-A205F262,PRIME,PALLET-SINGLE
P-1-A224C501,PRIME,PALLET-SINGLE
P-1-A223C492,PRIME,PALLET-SINGLE
P-1-A245F501,PRIME,PALLET-SINGLE
P-1-A222B293,PRIME,PALLET-SINGLE
P-1-A240G272,PRIME,PALLET-SINGLE
P-1-A223C483,PRIME,PALLET-SINGLE
P-1-A250E292,PRIME,PALLET-SINGLE
P-1-A207F263,PRIME,PALLET-SINGLE
P-1-A223F211,PRIME,PALLET-SINGLE
P-1-A234C431,PRIME,PALLET-SINGLE
P-1-A222A272,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A240E263,PRIME,PALLET-SINGLE
P-1-A208G293,PRIME,PALLET-SINGLE
P-1-A245E502,PRIME,PALLET-SINGLE
P-1-A214D293,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A250C290,PRIME,PALLET-SINGLE
P-1-A243D450,PRIME,PALLET-SINGLE
P-1-A241G211,PRIME,PALLET-SINGLE
P-1-A208F272,PRIME,PALLET-SINGLE
P-1-A214G292,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A246D202,PRIME,PALLET-SINGLE
P-1-A207F281,PRIME,PALLET-SINGLE
P-1-A234E430,PRIME,PALLET-SINGLE
P-1-A234E441,PRIME,PALLET-SINGLE
P-1-A241G200,PRIME,PALLET-SINGLE
P-1-A245F502,PRIME,PALLET-SINGLE
P-1-A246G202,PRIME,PALLET-SINGLE
P-1-A246D493,PRIME,PALLET-SINGLE
P-1-A223G480,PRIME,PALLET-SINGLE
P-1-A226G432,PRIME,PALLET-SINGLE
P-1-A222D280,PRIME,PALLET-SINGLE
P-1-A243A440,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A205E241,PRIME,PALLET-SINGLE
P-1-A246D212,PRIME,PALLET-SINGLE
P-1-A207D283,PRIME,PALLET-SINGLE
P-1-A224F501,PRIME,PALLET-SINGLE
P-1-A223G231,PRIME,PALLET-SINGLE
P-1-A240D271,PRIME,PALLET-SINGLE
P-1-A234F433,PRIME,PALLET-SINGLE
P-1-A218A330,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A240G213,PRIME,PALLET-SINGLE
P-1-A206C243,PRIME,PALLET-SINGLE
P-1-A246E202,PRIME,PALLET-SINGLE
P-1-A206D243,PRIME,PALLET-SINGLE
P-1-A206A242,PRIME,PALLET-SINGLE
P-1-A234F432,PRIME,PALLET-SINGLE
P-1-A226B452,PRIME,PALLET-SINGLE
P-1-A247E321,PRIME,PALLET-SINGLE
P-1-A226E450,PRIME,PALLET-SINGLE
P-1-A222A290,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A234B443,PRIME,PALLET-SINGLE
P-1-A208D291,PRIME,PALLET-SINGLE
P-1-A243F270,PRIME,PALLET-SINGLE
P-1-A226D430,PRIME,PALLET-SINGLE
P-1-A222C291,PRIME,PALLET-SINGLE
P-1-A223D221,PRIME,PALLET-SINGLE
P-1-A243F453,PRIME,PALLET-SINGLE
P-1-A234E450,PRIME,PALLET-SINGLE
P-1-A206C250,PRIME,PALLET-SINGLE
P-1-A246G212,PRIME,PALLET-SINGLE
P-1-A226G443,PRIME,PALLET-SINGLE
P-1-A240E262,PRIME,PALLET-SINGLE
P-1-A206D252,PRIME,PALLET-SINGLE
P-1-A223D210,PRIME,PALLET-SINGLE
P-1-A206G241,PRIME,PALLET-SINGLE
P-1-A226E430,PRIME,PALLET-SINGLE
P-1-A250F291,PRIME,PALLET-SINGLE
P-1-A218A222,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A208A293,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A226D452,PRIME,PALLET-SINGLE
P-1-A206A231,PRIME,PALLET-SINGLE
P-1-A241G212,PRIME,PALLET-SINGLE
P-1-A222F291,PRIME,PALLET-SINGLE
P-1-A246F202,PRIME,PALLET-SINGLE
P-1-A247F323,PRIME,PALLET-SINGLE
P-1-A222F280,PRIME,PALLET-SINGLE
P-1-A226E442,PRIME,PALLET-SINGLE
