Bin Id,Bin Usage,Bin Type
P-1-A218F342,PRIME,PALLET-SINGLE
P-1-A237B292,PRIME,PALLET-SINGLE
P-1-A227B460,PRIME,PALLET-SINGLE
P-1-A239B500,PRIME,PALLET-SINGLE
P-1-A232F401,PRIME,PALLET-SINGLE
P-1-A229B443,PRIME,PALLET-SINGLE
P-1-A223B441,PRIME,PALLET-SINGLE
P-1-A238B272,PRIME,PALLET-SINGLE
P-1-A217F460,PRIME,PALLET-SINGLE
P-1-A236B383,PRIME,PALLET-SINGLE
P-1-F205A310,PRIME_PUTBACK,PALLET-SINGLE
P-1-A246B320,PRIME,PALLET-SINGLE
P-1-A229B463,PRIME,PALLET-SINGLE
P-1-A229B323,PRIME,PALLET-SINGLE
P-1-A229B422,PRIME,PALLET-SINGLE
P-1-A217D333,PRIME,PALLET-SINGLE
P-1-A236B441,PRIME,PALLET-SINGLE
P-1-A236E483,PRIME,PALLET-SINGLE
P-1-A218G423,PRIME,PALLET-SINGLE
P-1-A221B393,PRIME,PALLET-SINGLE
P-1-A221B452,PRIME,PALLET-SINGLE
P-1-A234B422,PRIME,PALLET-SINGLE
P-1-A238B502,PRIME,PALLET-SINGLE
P-1-A236B422,PRIME,PALLET-SINGLE
P-1-A232G383,PRIME,PALLET-SINGLE
P-1-A245B362,PRIME,PALLET-SINGLE
P-1-A242B322,PRIME,PALLET-SINGLE
P-1-A218C423,PRIME,PALLET-SINGLE
P-1-A235B380,PRIME,PALLET-SINGLE
P-1-A248B363,PRIME,PALLET-SINGLE
P-1-A218F413,PRIME,PALLET-SINGLE
P-1-A219B273,PRIME,PALLET-SINGLE
P-1-A234B212,PRIME,PALLET-SINGLE
P-1-A247B482,PRIME,PALLET-SINGLE
P-1-A221B273,PRIME,PALLET-SINGLE
P-1-A239B443,PRIME,PALLET-SINGLE
P-1-A217F442,PRIME,PALLET-SINGLE
P-1-A218G340,PRIME,PALLET-SINGLE
P-1-A218F242,PRIME,PALLET-SINGLE
P-1-A236B452,PRIME,PALLET-SINGLE
P-1-A217F333,PRIME,PALLET-SINGLE
P-1-A247B221,PRIME,PALLET-SINGLE
P-1-A227B403,PRIME,PALLET-SINGLE
P-1-A239B391,PRIME,PALLET-SINGLE
P-1-A236B473,PRIME,PALLET-SINGLE
P-1-A236B380,PRIME,PALLET-SINGLE
P-1-A217D320,PRIME,PALLET-SINGLE
P-1-A218F412,PRIME,PALLET-SINGLE
P-1-F206A470,PRIME_PUTBACK,PALLET-SINGLE
P-1-A228B410,PRIME,PALLET-SINGLE
P-1-A239B482,PRIME,PALLET-SINGLE
P-1-F300A410,PRIME_PUTBACK,PALLET-SINGLE
P-1-A232F411,PRIME,PALLET-SINGLE
P-1-F300A460,PRIME_PUTBACK,PALLET-SINGLE
P-1-A228B430,PRIME,PALLET-SINGLE
P-1-A243B282,PRIME,PALLET-SINGLE
P-1-A218G432,PRIME,PALLET-SINGLE
P-1-A247B422,PRIME,PALLET-SINGLE
P-1-A237B293,PRIME,PALLET-SINGLE
P-1-A236B412,PRIME,PALLET-SINGLE
P-1-A221B321,PRIME,PALLET-SINGLE
P-1-A223B352,PRIME,PALLET-SINGLE
P-1-A222B300,PRIME,PALLET-SINGLE
P-1-A229B373,PRIME,PALLET-SINGLE
P-1-F310A235,PRIME_PUTBACK,PALLET-SINGLE
P-1-A236D483,PRIME,PALLET-SINGLE
P-1-A237B272,PRIME,PALLET-SINGLE
P-1-A230B433,PRIME,PALLET-SINGLE
P-1-A237B473,PRIME,PALLET-SINGLE
P-1-A209G293,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A228B411,PRIME,PALLET-SINGLE
P-1-A243D480,PRIME,PALLET-SINGLE
P-1-A222B501,PRIME,PALLET-SINGLE
P-1-A217E333,PRIME,PALLET-SINGLE
P-1-A217F332,PRIME,PALLET-SINGLE
P-1-F310A230,PRIME_PUTBACK,PALLET-SINGLE
P-1-A228B482,PRIME,PALLET-SINGLE
P-1-A239B323,PRIME,PALLET-SINGLE
P-5-C185A530,RANDOM_STOW,PALLET-SINGLE
P-1-A237B482,PRIME,PALLET-SINGLE
P-1-A234B390,PRIME,PALLET-SINGLE
P-1-A229B421,PRIME,PALLET-SINGLE
P-1-A236G492,PRIME,PALLET-SINGLE
P-1-A227B390,PRIME,PALLET-SINGLE
P-1-A218F470,PRIME,PALLET-SINGLE
P-1-A227B443,PRIME,PALLET-SINGLE
P-1-A218D410,PRIME,PALLET-SINGLE
P-1-A236G491,PRIME,PALLET-SINGLE
P-1-A246B401,PRIME,PALLET-SINGLE
P-1-A218F491,PRIME,PALLET-SINGLE
P-1-A229B382,PRIME,PALLET-SINGLE
P-1-A217G333,PRIME,PALLET-SINGLE
P-5-C247A610,RANDOM_STOW,PALLET-SINGLE
P-1-A212E233,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A218E370,PRIME,PALLET-SINGLE
P-1-A246B380,PRIME,PALLET-SINGLE
P-1-A250B272,PRIME,PALLET-SINGLE
P-1-A223G342,PRIME,PALLET-SINGLE
P-1-A218F340,PRIME,PALLET-SINGLE
P-1-A238B321,PRIME,PALLET-SINGLE
P-1-A241B452,PRIME,PALLET-SINGLE
P-1-A222B391,PRIME,PALLET-SINGLE
P-1-A238B420,PRIME,PALLET-SINGLE
P-1-A226B351,PRIME,PALLET-SINGLE
P-1-A236D491,PRIME,PALLET-SINGLE
P-1-A233B260,PRIME,PALLET-SINGLE
P-1-A226B413,PRIME,PALLET-SINGLE
P-1-A220B370,PRIME,PALLET-SINGLE
P-1-A220B441,PRIME,PALLET-SINGLE
