Bin Id,Bin Usage,Bin Type
P-1-A233A351,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A233A441,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A238D440,PRIME,PALLET-SINGLE
P-1-A245E350,PRIME,PALLET-SINGLE
P-5-B250A278,RANDOM_STOW,PALLET-SINGLE
P-5-B295A280,RANDOM_STOW,PALLET-SINGLE
P-1-A217F233,PRIME,PALLET-SINGLE
P-1-A228A252,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A237D342,PRIME,PALLET-SINGLE
P-1-A225G433,PRIME,PALLET-SINGLE
P-5-C325A624,RANDOM_STOW,PALLET-SINGLE
P-1-A218D431,PRIME,PALLET-SINGLE
P-1-A225A390,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A237G450,PRIME,PALLET-SINGLE
P-5-C325A554,RANDOM_STOW,PALLET-SINGLE
P-5-C400A370,RANDOM_STOW,PALLET-SINGLE
P-1-A233A222,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A218G480,PRIME,PALLET-SINGLE
P-1-A245F393,PRIME,PALLET-SINGLE
P-1-A218D420,PRIME,PALLET-SINGLE
P-1-F300A470,PRIME_PUTBACK,PALLET-SINGLE
P-1-A217G401,PRIME,PALLET-SINGLE
P-1-A229G402,PRIME,PALLET-SINGLE
P-1-A237E400,PRIME,PALLET-SINGLE
P-1-A220D280,PRIME,PALLET-SINGLE
P-1-A217C501,PRIME,PALLET-SINGLE
P-1-A236B290,PRIME,PALLET-SINGLE
P-1-A217E470,PRIME,PALLET-SINGLE
P-5-B247A390,RANDOM_STOW,PALLET-SINGLE
P-1-F302A160,PRIME_PUTBACK,PALLET-SINGLE
P-1-A249G390,PRIME,PALLET-SINGLE
P-1-A233A333,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A248G211,PRIME,PALLET-SINGLE
P-1-A210D260,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-F205A320,PRIME_PUTBACK,PALLET-SINGLE
P-1-A211D243,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A210C271,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A222G490,PRIME,PALLET-SINGLE
P-1-A224G411,PRIME,PALLET-SINGLE
P-1-A240A412,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A230F413,PRIME,PALLET-SINGLE
P-5-B286A266,RANDOM_STOW,PALLET-SINGLE
P-1-A216G292,PRIME,PALLET-SINGLE
P-1-A232A222,DIRECTED_MULTI_ASIN,PALLET-SINGLE
P-1-A249G382,PRIME,PALLET-SINGLE
P-1-A217D212,PRIME,PALLET-SINGLE
P-1-A232A443,DIRECTED_MULTI_ASIN,PALLET-SINGLE
